,0
759,1033
760,955
761,977
762,906
763,965
764,922
765,1039
766,966
767,865
768,912
769,935
770,900
771,944
772,998
773,963
774,987
775,787
776,943
777,819
778,1049
779,933
780,987
781,1052
782,900
783,950
784,1025
785,965
786,907
787,986
788,1026
789,801
790,788
791,912
792,878
793,901
794,1030
795,823
796,987
797,1047
798,921
799,908
800,804
801,859
802,826
803,966
804,828
805,922
806,948
807,1010
808,1082
809,957
810,861
811,961
812,852
813,937
814,834
815,967
816,1048
817,1057
818,979
819,1020
820,968
821,1003
822,1023
823,930
824,888
825,1188
826,916
827,852
828,906
829,891
830,901
831,1016
832,899
833,955
834,934
835,949
836,922
837,823
838,968
839,812
840,889
841,822
842,982
843,961
844,940
845,891
846,949
847,850
848,1030
849,830
850,930
851,928
852,1158
853,938
854,891
855,910
856,854
857,1028
858,974
859,899
860,751
861,890
862,1044
863,931
864,904
865,943
866,942
867,963
868,1105
869,804
870,933
871,1025
872,969
873,909
874,1055
875,957
876,1027
877,849
878,969
879,909
880,840
881,791
882,1024
883,949
884,883
885,709
886,854
887,826
888,937
889,975
890,1019
891,803
892,938
893,963
894,855
895,836
896,1016
897,970
898,1058
899,1156
900,962
901,836
902,1049
903,1020
904,939
905,1045
906,878
907,1055
908,789
909,887
910,884
911,1022
912,930
913,778
914,779
915,1047
916,850
917,848
918,880
919,829
920,885
921,990
922,943
923,907
924,886
925,983
926,866
927,908
928,990
929,798
930,826
931,837
932,932
933,992
934,967
935,959
936,954
937,946
938,931
939,901
940,931
941,1089
942,935
943,869
944,936
945,874
946,1007
947,968
948,945
949,951
950,902
951,875
952,925
953,861
954,949
955,1035
956,888
957,978
958,915
959,1083
960,966
961,827
962,925
963,826
964,1006
965,857
966,940
967,1146
968,811
969,1012
970,878
971,923
972,1192
973,954
974,944
975,1076
976,817
977,1048
978,893
979,849
980,938
981,880
982,935
983,973
984,917
985,915
986,999
987,925
988,860
989,825
990,919
991,990
992,911
993,982
994,938
995,841
996,816
997,937
998,1185
999,989
